Processing video: 5224144816887051284
Video 5224144816887051284: 44352 frames at 25.00 FPS
Total annotations after filtering by pl_filter: 1276
DEBUG: Final pseudo glosses:
{'start': 4.88, 'end': 5.04, 'text': 'british', 'probs': 0.867431640625}
{'start': 5.76, 'end': 6.48, 'text': 'army', 'probs': 0.8247612847222222}
{'start': 7.76, 'end': 7.92, 'text': 'big', 'probs': 0.691650390625}
{'start': 9.6, 'end': 10.24, 'text': 'egg', 'probs': 0.741455078125}
{'start': 10.4, 'end': 10.48, 'text': 'ground', 'probs': 0.6064453125}
{'start': 10.88, 'end': 10.96, 'text': 'ready', 'probs': 0.6640625}
{'start': 11.6, 'end': 11.76, 'text': 'hard', 'probs': 0.752197265625}
{'start': 11.76, 'end': 11.92, 'text': 'work', 'probs': 0.744140625}
{'start': 15.28, 'end': 15.36, 'text': 'what', 'probs': 0.771484375}
{'start': 16.8, 'end': 16.88, 'text': 'see', 'probs': 0.68359375}
{'start': 17.52, 'end': 17.84, 'text': 'in', 'probs': 0.87646484375}
{'start': 18.32, 'end': 18.56, 'text': 'mean', 'probs': 0.6985677083333334}
{'start': 18.72, 'end': 19.04, 'text': 'what', 'probs': 0.96435546875}
{'start': 19.2, 'end': 19.36, 'text': 'for', 'probs': 0.7841796875}
{'start': 19.44, 'end': 20.24, 'text': 'love', 'probs': 0.9}
{'start': 20.88, 'end': 21.2, 'text': 'what', 'probs': 0.821044921875}
{'start': 21.44, 'end': 21.52, 'text': 'what', 'probs': 0.65673828125}
{'start': 23.76, 'end': 23.84, 'text': 'some', 'probs': 0.92431640625}
{'start': 23.92, 'end': 24.24, 'text': 'beautiful', 'probs': 0.87353515625}
{'start': 24.24, 'end': 24.48, 'text': 'beauty', 'probs': 0.7252604166666666}
{'start': 24.56, 'end': 24.72, 'text': 'beautiful', 'probs': 0.87841796875}
{'start': 25.28, 'end': 25.68, 'text': 'beautiful', 'probs': 0.8216796875}
{'start': 26.4, 'end': 26.56, 'text': 'certainly', 'probs': 0.684814453125}
{'start': 27.52, 'end': 28.4, 'text': 'four', 'probs': 0.8870738636363636}
{'start': 28.72, 'end': 28.96, 'text': 'different', 'probs': 0.6769205729166666}
{'start': 29.12, 'end': 29.36, 'text': 'creature', 'probs': 0.921875}
{'start': 29.84, 'end': 29.92, 'text': 'happen', 'probs': 0.63720703125}
{'start': 30.08, 'end': 30.24, 'text': 'aberdeen', 'probs': 0.892822265625}
{'start': 30.72, 'end': 31.28, 'text': 'four', 'probs': 0.8083147321428571}
{'start': 32.56, 'end': 32.64, 'text': 'narrative', 'probs': 0.62060546875}
{'start': 32.8, 'end': 33.12, 'text': 'give', 'probs': 0.8787841796875}
{'start': 63.28, 'end': 63.6, 'text': 'through', 'probs': 0.7220458984375}
{'start': 64.0, 'end': 64.32, 'text': 'reptile', 'probs': 0.87158203125}
{'start': 65.12, 'end': 65.76, 'text': 'and', 'probs': 0.86981201171875}
{'start': 66.8, 'end': 67.04, 'text': 'much', 'probs': 0.6837565104166666}
{'start': 67.92, 'end': 68.08, 'text': 'worth', 'probs': 0.6923828125}
{'start': 68.64, 'end': 68.8, 'text': 'important', 'probs': 0.629150390625}
{'start': 71.36, 'end': 72.16, 'text': 'many', 'probs': 0.811572265625}
{'start': 72.48, 'end': 72.64, 'text': 'breathe', 'probs': 0.658935546875}
{'start': 72.88, 'end': 73.12, 'text': 'like', 'probs': 0.6357421875}
{'start': 73.6, 'end': 73.76, 'text': 'bad', 'probs': 0.793212890625}
{'start': 73.84, 'end': 74.0, 'text': 'end', 'probs': 0.608642578125}
{'start': 74.88, 'end': 74.96, 'text': 'fresh', 'probs': 0.64794921875}
{'start': 75.68, 'end': 75.84, 'text': 'drive', 'probs': 0.651611328125}
{'start': 76.8, 'end': 78.0, 'text': 'love', 'probs': 0.87177734375}
{'start': 78.48, 'end': 78.56, 'text': 'certainly', 'probs': 0.72900390625}
{'start': 79.36, 'end': 79.44, 'text': 'no', 'probs': 0.6298828125}
{'start': 79.52, 'end': 79.68, 'text': 'contract', 'probs': 0.617431640625}
{'start': 80.64, 'end': 80.72, 'text': 'david', 'probs': 0.67919921875}
{'start': 81.2, 'end': 81.28, 'text': 'many', 'probs': 0.8564453125}
{'start': 81.28, 'end': 82.08, 'text': 'love', 'probs': 0.782666015625}
{'start': 82.64, 'end': 82.96, 'text': 'reptile', 'probs': 0.83056640625}
{'start': 83.04, 'end': 83.12, 'text': 'dale', 'probs': 0.64013671875}
{'start': 83.6, 'end': 83.92, 'text': 'work', 'probs': 0.775634765625}
