sentence_idx,clip_id,clip_start_s,clip_end_s,clip_dur_s,n_tokens,n_segs,fallback,status
0,clip_000,33.557,37.467,3.91,5,19,,ok
1,clip_001,37.467,40.817,3.35,6,18,,ok
2,clip_002,40.817,44.979,4.162,4,19,,ok
3,clip_003,44.979,49.27,4.291,7,19,,ok
4,clip_004,49.27,53.55,4.28,9,31,,ok
5,clip_005,53.55,54.986,1.436,3,10,,ok
6,clip_006,54.986,62.848,7.862,14,36,,ok
7,clip_007,62.848,71.716,8.868,12,29,,ok
8,clip_008,71.716,75.609,3.893,5,19,,ok
9,clip_009,75.609,79.536,3.927,7,24,,ok
10,clip_010,79.536,82.374,2.838,6,21,,ok
11,clip_011,82.374,89.598,7.224,10,34,,ok
12,clip_012,89.598,94.863,5.265,12,28,,ok
13,clip_013,94.863,99.51,4.647,6,15,,ok
14,clip_014,99.51,102.727,3.217,4,16,,ok
15,clip_015,102.727,110.34,7.613,8,31,,ok
16,clip_016,110.34,114.549,4.209,8,17,,ok
17,clip_017,114.549,124.235,9.686,17,41,,ok
18,clip_018,124.235,128.119,3.884,4,17,,ok
19,clip_019,128.119,132.849,4.73,7,25,,ok
20,clip_020,132.849,143.922,11.073,17,48,,ok
21,clip_021,143.922,147.211,3.289,9,20,,ok
22,clip_022,147.211,149.588,2.377,4,11,,ok
23,clip_023,149.588,154.577,4.989,9,24,,ok
24,clip_024,154.577,158.131,3.554,3,16,,ok
25,clip_025,158.131,164.598,6.467,10,32,,ok
26,clip_026,164.598,168.526,3.928,7,23,,ok
27,clip_027,168.526,173.294,4.768,7,25,,ok
28,clip_028,173.294,181.51,8.216,10,26,,ok
29,clip_029,181.51,187.688,6.178,13,36,,ok
30,clip_030,187.688,191.539,3.851,5,16,,ok
31,clip_031,191.539,195.175,3.636,4,16,,ok
32,clip_032,195.175,198.74,3.565,7,20,,ok
33,clip_033,198.74,201.472,2.732,2,16,,ok
34,clip_034,201.472,205.807,4.335,7,18,,ok
35,clip_035,205.807,213.428,7.621,11,40,,ok
36,clip_036,213.428,216.598,3.17,2,9,,ok
37,clip_037,216.598,218.59,1.992,3,10,,ok
38,clip_038,218.59,223.528,4.938,5,26,,ok
39,clip_039,223.528,225.747,2.219,4,18,,ok
40,clip_040,225.747,229.43,3.683,7,19,,ok
41,clip_041,229.43,235.415,5.985,7,22,,ok
42,clip_042,235.415,240.188,4.773,6,22,,ok
43,clip_043,240.188,245.271,5.083,8,23,,ok
44,clip_044,245.271,254.237,8.966,15,50,,ok
45,clip_045,254.237,258.372,4.135,4,13,,ok
46,clip_046,258.372,262.865,4.493,7,15,,ok
47,clip_047,262.865,273.843,10.978,18,49,,ok
48,clip_048,273.843,278.723,4.88,8,26,,ok
49,clip_049,278.723,284.708,5.985,5,28,,ok
50,clip_050,284.708,288.203,3.495,6,20,,ok
51,clip_051,288.203,292.354,4.151,7,20,,ok
52,clip_052,292.354,294.305,1.951,4,11,,ok
53,clip_053,294.305,301.274,6.969,9,24,,ok
54,clip_054,301.274,305.88,4.606,4,18,,ok
55,clip_055,305.88,314.686,8.806,9,34,,ok
56,clip_056,314.686,315.981,1.295,3,7,,ok
57,clip_057,315.981,320.529,4.548,10,27,,ok
58,clip_058,320.529,324.098,3.569,5,26,,ok
59,clip_059,324.098,332.178,8.08,11,30,,ok
60,clip_060,332.178,340.08,7.902,10,33,,ok
61,clip_061,340.08,348.148,8.068,9,40,,ok
62,clip_062,348.148,357.514,9.366,11,31,,ok
63,clip_063,357.514,361.079,3.565,5,16,,ok
64,clip_064,361.079,367.354,6.275,12,30,,ok
65,clip_065,367.354,374.098,6.744,8,39,,ok
66,clip_066,374.098,378.585,4.487,10,21,,ok
67,clip_067,378.585,381.908,3.323,4,14,,ok
68,clip_068,381.908,388.843,6.935,9,31,,ok
69,clip_069,388.843,392.511,3.668,7,22,,ok
70,clip_070,392.511,397.616,5.105,7,26,,ok
71,clip_071,397.616,404.288,6.672,12,38,,ok
72,clip_072,404.288,410.009,5.721,9,32,,ok
73,clip_073,410.009,414.606,4.597,9,29,,ok
74,clip_074,414.606,419.246,4.64,5,17,,ok
75,clip_075,419.246,426.311,7.065,5,21,,ok
76,clip_076,426.311,431.245,4.934,8,30,,ok
77,clip_077,431.245,436.235,4.99,8,30,,ok
78,clip_078,436.235,445.765,9.53,11,35,,ok
79,clip_079,445.765,450.243,4.478,5,20,,ok
80,clip_080,450.243,456.13,5.887,5,22,,ok
81,clip_081,456.13,457.077,0.947,1,7,,ok
82,clip_082,457.077,464.117,7.04,6,15,,ok
83,clip_083,464.117,470.806,6.689,7,19,,ok
84,clip_084,470.806,476.011,5.205,6,23,,ok
85,clip_085,476.011,479.299,3.288,4,19,,ok
86,clip_086,479.299,485.394,6.095,9,31,,ok
87,clip_087,485.394,492.586,7.192,8,47,,ok
88,clip_088,492.586,494.518,1.932,2,8,,ok
89,clip_089,494.518,499.614,5.096,6,24,,ok
90,clip_090,499.614,504.26,4.646,4,17,,ok
91,clip_091,504.26,511.627,7.367,7,28,,ok
92,clip_092,511.627,519.788,8.161,13,39,,ok
93,clip_093,519.788,522.106,2.318,4,14,,ok
94,clip_094,522.106,527.143,5.037,8,21,,ok
95,clip_095,527.143,530.504,3.361,4,10,,ok
96,clip_096,530.504,536.05,5.546,5,18,,ok
97,clip_097,536.05,540.079,4.029,6,19,,ok
98,clip_098,540.079,547.564,7.485,8,36,,ok
99,clip_099,547.564,549.611,2.047,2,12,,ok
100,clip_100,549.611,553.404,3.793,3,8,,ok
101,clip_101,553.404,558.3,4.896,4,14,,ok
102,clip_102,558.3,561.393,3.093,3,9,,ok
103,clip_103,561.393,564.775,3.382,2,4,,ok
104,clip_104,564.775,571.268,6.493,5,21,,ok
105,clip_105,571.268,578.518,7.25,8,33,,ok
106,clip_106,578.518,582.543,4.025,5,29,,ok
107,clip_107,582.543,588.364,5.821,4,24,,ok
108,clip_108,588.364,592.021,3.657,6,18,,ok
109,clip_109,592.021,598.415,6.394,11,35,,ok
110,clip_110,598.415,604.862,6.447,10,26,,ok
111,clip_111,604.862,612.521,7.659,13,33,,ok
112,clip_112,612.521,617.123,4.602,6,30,,ok
113,clip_113,617.123,619.885,2.762,3,12,,ok
114,clip_114,619.885,622.437,2.552,6,17,,ok
115,clip_115,622.437,627.436,4.999,9,25,,ok
116,clip_116,627.436,635.087,7.651,9,49,,ok
117,clip_117,635.087,640.797,5.71,9,30,,ok
118,clip_118,640.797,666.47,25.673,11,41,,ok
