pred_token,pred_start,pred_end,gt_token,gt_start,gt_end,iou,start_off_s,end_off_s,text_match,fallback
สวัสดี,33.607,34.307,สวัสดี,33.557,34.609,0.6654,0.05,-0.302,True,
(ผายมือ),34.323,35.107,สวัสดี,33.557,34.609,0.1845,0.766,0.498,False,
เด็ก,35.207,35.94,(ผายมือ),35.089,35.767,0.658,0.118,0.173,False,
เรียน,35.99,36.623,เรียน,36.294,36.621,0.5166,-0.304,0.002,True,
(ผายมือ),36.657,37.457,(ผายมือ),36.786,37.33,0.68,-0.129,0.127,True,
นี้,37.6,37.8,นี้,37.467,37.765,0.4955,0.133,0.035,True,
ต่อ,37.867,38.35,ต่อ,37.972,38.412,0.6936,-0.105,-0.062,True,
ไหน,38.417,39.033,ไหน,38.588,38.907,0.5179,-0.171,0.126,True,
เรา,39.083,39.567,เรา,38.997,39.516,0.7596,0.086,0.051,True,
เรียน,39.583,40.15,เรียน,39.626,40.17,0.8927,-0.043,-0.02,True,
ไหน,40.183,40.617,ไหน,40.388,40.612,0.5161,-0.205,0.005,True,
เกี่ยวกับ,40.833,41.917,เกี่ยวกับ,40.817,41.516,0.6209,0.016,0.401,True,
เปรียบเทียบ,42.0,42.65,เปรียบเทียบ,41.602,42.657,0.6161,0.398,-0.007,True,
(ไล่จำนวนตัวเลข),42.7,43.75,(ไล่จำนวนตัวเลข),42.855,43.83,0.792,-0.155,-0.08,True,
(น้อยไปหามาก),43.767,44.75,(น้อยไปหามาก),44.242,44.851,0.4686,-0.475,-0.101,True,
ดู,44.979,45.062,ดู,44.979,45.097,0.7034,0.0,-0.035,True,
ประมาณ,45.112,45.612,ประมาณ,45.208,45.367,0.318,-0.096,0.245,True,
(ผายมือ),45.629,46.195,(ผายมือ),45.581,46.204,0.9085,0.048,-0.009,True,
นี้,46.279,46.645,นี้,46.422,46.588,0.4536,-0.143,0.057,True,
คุณครู,46.712,47.245,คุณครู,46.716,47.242,0.9869,-0.004,0.003,True,
ดู,47.279,47.545,ดู,47.401,47.581,0.4768,-0.122,-0.036,True,
(ผายมือ),47.579,48.129,(ผายมือ),47.74,48.343,0.5092,-0.161,-0.214,True,
(ผายมือ),49.286,49.82,(ผายมือ),49.27,49.578,0.5309,0.016,0.242,True,
(ผายมือ),49.836,50.253,(ผายมือ),50.007,50.644,0.3045,-0.171,-0.391,True,
ราคา,50.27,50.636,(ผายมือ),50.007,50.644,0.5746,0.263,-0.008,False,
รถยนต์,50.653,51.07,ราคา,50.837,51.268,0.3789,-0.184,-0.198,False,
มี,51.086,51.603,รถยนต์,51.381,51.941,0.2596,-0.295,-0.338,False,
(ลักษณนามรถยนต์),51.62,52.053,รถยนต์,51.381,51.941,0.4777,0.239,0.112,False,
(ลักษณนามรถยนต์),52.07,52.52,(ลักษณนามรถยนต์),52.235,52.529,0.6209,-0.165,-0.009,True,
สอง,52.553,53.02,(ลักษณนามรถยนต์),52.547,52.862,0.6533,0.006,0.158,False,
(ชี้นิ้วกลาง),53.053,53.336,สอง,53.1,53.349,0.7973,-0.047,-0.013,False,
รถยนต์,53.6,53.916,รถยนต์,53.55,53.696,0.2623,0.05,0.22,True,
สวยงาม,53.933,54.45,สวยงาม,53.91,54.415,0.8926,0.023,0.035,True,
ใช่ไหม,54.483,55.0,ใช่ไหม,54.467,54.844,0.6773,0.016,0.156,True,
(ลักษณนามรถยนต์),55.019,55.502,ที่,55.294,55.436,0.294,-0.275,0.066,False,
ที่,55.519,56.069,หนึ่ง,55.471,56.007,0.8161,0.048,0.062,False,
หนึ่ง,56.086,56.636,ราคา,56.228,56.73,0.6335,-0.142,-0.094,False,
ราคา,56.652,57.086,เท่าไร,56.747,57.163,0.6634,-0.095,-0.077,False,
เท่าไร,57.102,57.636,(ชี้นิ้วชี้),57.356,57.734,0.443,-0.254,-0.098,False,
