pred_token,pred_start,pred_end,gt_token,gt_start,gt_end,iou,start_off_s,end_off_s,text_match,fallback
สวัสดี,35.216,35.516,(ผายมือ),35.089,35.767,0.4425,0.127,-0.251,False,
(ผายมือ),35.583,35.95,(ผายมือ),35.089,35.767,0.2137,0.494,0.183,True,
เด็ก,35.983,36.133,เด็ก,35.989,36.089,0.6667,-0.006,0.044,True,
เรียน,36.166,36.883,เรียน,36.294,36.621,0.4561,-0.128,0.262,True,
(ผายมือ),36.9,37.366,(ผายมือ),36.786,37.33,0.7414,0.114,0.036,True,
นี้,37.633,37.816,นี้,37.467,37.765,0.3782,0.166,0.051,True,
ต่อ,37.9,38.35,ต่อ,37.972,38.412,0.7383,-0.072,-0.062,True,
ไหน,38.4,38.9,ไหน,38.588,38.907,0.6154,-0.188,-0.007,True,
เรา,38.916,39.283,เรา,38.997,39.516,0.4767,-0.081,-0.233,True,
เรียน,39.516,40.133,เรียน,39.626,40.17,0.7752,-0.11,-0.037,True,
ไหน,40.15,40.633,ไหน,40.388,40.612,0.4638,-0.238,0.021,True,
เกี่ยวกับ,40.766,41.65,เกี่ยวกับ,40.817,41.516,0.7907,-0.051,0.134,True,
เปรียบเทียบ,41.666,42.666,เปรียบเทียบ,41.602,42.657,0.9314,0.064,0.009,True,
(ไล่จำนวนตัวเลข),42.716,43.783,(ไล่จำนวนตัวเลข),42.855,43.83,0.833,-0.139,-0.047,True,
(น้อยไปหามาก),43.8,44.8,(น้อยไปหามาก),44.242,44.851,0.5309,-0.442,-0.051,True,
ดู,44.966,45.45,ประมาณ,45.208,45.367,0.3285,-0.242,0.083,False,
ประมาณ,45.483,45.666,(ผายมือ),45.581,46.204,0.1179,-0.098,-0.538,False,
(ผายมือ),45.716,46.133,(ผายมือ),45.581,46.204,0.6693,0.135,-0.071,True,
นี้,46.216,46.7,นี้,46.422,46.588,0.343,-0.206,0.112,True,
คุณครู,46.716,47.25,คุณครู,46.716,47.242,0.985,0.0,0.008,True,
ดู,47.3,47.65,ดู,47.401,47.581,0.5143,-0.101,0.069,True,
(ผายมือ),47.666,48.133,(ผายมือ),47.74,48.343,0.5805,-0.074,-0.21,True,
(ผายมือ),49.283,49.45,(ผายมือ),49.27,49.578,0.5422,0.013,-0.128,True,
(ผายมือ),49.533,49.833,(ผายมือ),49.27,49.578,0.0799,0.263,0.255,True,
ราคา,49.883,50.35,(ผายมือ),50.007,50.644,0.4507,-0.124,-0.294,False,
รถยนต์,50.366,50.633,(ผายมือ),50.007,50.644,0.4192,0.359,-0.011,False,
มี,50.716,51.183,ราคา,50.837,51.268,0.6268,-0.121,-0.085,False,
(ลักษณนามรถยนต์),51.2,52.066,รถยนต์,51.381,51.941,0.6467,-0.181,0.125,False,
(ลักษณนามรถยนต์),52.083,52.466,(ลักษณนามรถยนต์),52.235,52.529,0.5179,-0.152,-0.063,True,
สอง,52.5,52.95,(ลักษณนามรถยนต์),52.547,52.862,0.7,-0.047,0.088,False,
(ชี้นิ้วกลาง),53.0,53.35,สอง,53.1,53.349,0.7114,-0.1,0.001,False,
รถยนต์,53.583,53.95,รถยนต์,53.55,53.696,0.2825,0.033,0.254,True,
สวยงาม,53.966,54.35,สวยงาม,53.91,54.415,0.7604,0.056,-0.065,True,
ใช่ไหม,54.383,54.783,ใช่ไหม,54.467,54.844,0.6855,-0.084,-0.061,True,
(ลักษณนามรถยนต์),55.183,55.95,หนึ่ง,55.471,56.007,0.5813,-0.288,-0.057,False,
ที่,56.016,56.4,ราคา,56.228,56.73,0.2409,-0.212,-0.33,False,
หนึ่ง,56.466,57.116,เท่าไร,56.747,57.163,0.5294,-0.281,-0.047,False,
ราคา,57.166,57.583,(ชี้นิ้วชี้),57.356,57.734,0.3996,-0.19,-0.151,False,
เท่าไร,57.666,58.15,เก้า,58.035,58.45,0.1467,-0.369,-0.3,False,
(ชี้นิ้วชี้),58.166,58.7,เก้า,58.035,58.45,0.4271,0.131,0.25,False,
เก้า,58.716,59.166,แสน,58.822,59.173,0.7527,-0.106,-0.007,False,
แสน,59.2,59.583,ห้า,59.277,59.588,0.7887,-0.077,-0.005,False,
ห้า,59.616,60.033,หมื่น,59.796,59.976,0.4317,-0.18,0.057,False,
หมื่น,60.066,60.5,แปด,60.218,60.471,0.5829,-0.152,0.029,False,
แปด,60.6,60.933,พัน,60.72,60.872,0.4565,-0.12,0.061,False,
พัน,60.983,61.333,เจ็ดร้อย,61.183,61.585,0.2492,-0.2,-0.252,False,
เจ็ดร้อย,61.35,61.883,เจ็ดร้อย,61.183,61.585,0.3357,0.167,0.298,True,
ห้าสิบ,61.9,62.483,ห้าสิบ,61.668,62.509,0.6932,0.232,-0.026,True,
(ชี้นิ้วกลาง),62.866,63.233,(ชี้นิ้วกลาง),62.848,63.26,0.8908,0.018,-0.027,True,
รถยนต์,63.316,63.75,รถยนต์,63.415,63.689,0.6313,-0.099,0.061,True,
(ชี้นิ้วกลาง),63.766,64.666,(ชี้นิ้วกลาง),63.81,64.734,0.8843,-0.044,-0.068,True,
ที่,64.716,65.45,สอง,65.197,65.422,0.3065,-0.481,0.028,False,
สอง,65.516,66.216,ราคา,65.882,66.401,0.3774,-0.366,-0.185,False,
ราคา,66.233,66.8,เท่าไร,66.522,66.869,0.4371,-0.289,-0.069,False,
เท่าไร,67.0,67.716,หนึ่ง,67.114,67.623,0.7109,-0.114,0.093,False,
หนึ่ง,67.733,68.4,ล้าน,67.754,68.481,0.8636,-0.021,-0.081,False,
ล้าน,68.45,69.316,สามร้อย,68.668,69.682,0.526,-0.218,-0.366,False,
สามร้อย,69.333,69.633,สามร้อย,68.668,69.682,0.2959,0.665,-0.049,True,
แปดสิบ,69.65,70.4,แปดสิบ,69.851,70.422,0.7111,-0.201,-0.022,True,
ห้า,70.483,71.316,ห้า,70.595,71.36,0.8221,-0.112,-0.044,True,
(ชี้นิ้วชี้),71.933,72.516,(ชี้นิ้วกลาง),72.007,72.159,0.2607,-0.074,0.357,False,
(ชี้นิ้วกลาง),72.583,72.933,วิธี,72.315,72.792,0.3382,0.268,0.141,False,
วิธี,72.983,73.566,เปรียบเทียบ,72.9,73.72,0.711,0.083,-0.154,False,
เปรียบเทียบ,73.583,73.966,เปรียบเทียบ,72.9,73.72,0.1285,0.683,0.246,True,
อย่างไร,73.983,74.516,อย่างไร,73.924,74.54,0.8653,0.059,-0.024,True,
ใคร,75.566,76.166,ใคร,75.609,75.91,0.5017,-0.043,0.256,True,
มี,76.183,76.533,ราคา,76.522,77.149,0.0114,-0.339,-0.616,False,
ราคา,76.616,77.1,ราคา,76.522,77.149,0.7719,0.094,-0.049,True,
มาก,77.116,77.65,มาก,77.439,77.612,0.324,-0.323,0.038,True,
กว่า,77.683,78.25,กว่า,77.754,78.173,0.739,-0.071,0.077,True,
กว่า,78.333,78.733,กว่า,78.516,78.699,0.4575,-0.183,0.034,True,
ไหน,78.8,79.35,ไหน,78.799,79.356,0.9874,0.001,-0.006,True,
ดู,79.5,79.966,ดู,79.536,79.681,0.3112,-0.036,0.285,True,
(ผายมือ),79.983,80.5,(ผายมือ),79.918,80.248,0.4553,0.065,0.252,True,
วิธี,80.516,80.933,วิธี,80.37,80.751,0.4174,0.146,0.182,True,
ทำ,81.016,81.516,อย่างไร,81.286,81.583,0.4056,-0.27,-0.067,False,
อย่างไร,81.533,81.833,(ผายมือ),81.653,82.236,0.256,-0.12,-0.403,False,
(ผายมือ),81.883,82.233,(ผายมือ),81.653,82.236,0.6003,0.23,-0.003,True,
เปรียบเทียบ,82.366,82.866,เปรียบเทียบ,82.374,83.332,0.5093,-0.008,-0.466,True,
ตัวเลข,82.916,83.416,เปรียบเทียบ,82.374,83.332,0.3992,0.542,0.084,False,
(มี+สอง),83.5,84.166,ตัวเลข,83.664,84.443,0.5323,-0.164,-0.277,False,
(ชี้นิ้วชี้),84.183,84.716,(มี+สอง),84.502,85.003,0.261,-0.319,-0.287,False,
(ไล่จำนวนตัวเลข),84.733,85.316,(มี+สอง),84.502,85.003,0.3317,0.231,0.313,False,
(น้อยไปหามาก),85.366,85.85,(ไล่จำนวนตัวเลข),85.567,85.886,0.5442,-0.201,-0.036,False,
(น้อยไปหามาก),85.916,86.333,(น้อยไปหามาก),86.135,86.564,0.3056,-0.219,-0.231,True,
มี,86.4,86.933,(น้อยไปหามาก),86.702,86.983,0.3962,-0.302,-0.05,False,
