experiment,vtt_path,post_overlap,matched,total_pred,mean_off_s,median_off_s,stdev_s,mean_off_abs,median_off_abs,mean_end_off,median_end_off,mean_end_off_abs,median_end_off_abs,w1_pct,w2_pct,w3_pct,overlap_pct,frame_acc,f1_10,f1_25,f1_50
"B2   (BSL, CC text, tuned)",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_with_embedding_tuned\04.vtt,False,119,119,0.2571,-0.061,0.8476,0.6211,0.323,1.3257,1.221,1.3915,1.221,76.47,95.8,99.16,86.44,82.8145,100.0,100.0,88.2353
"B2   (BSL, CC text, tuned)  [no_overlap]",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_with_embedding_tuned\04_no_overlap.vtt,True,119,119,0.2571,-0.061,0.8476,0.6211,0.323,0.6289,0.68,0.8156,0.829,76.47,95.8,99.16,0.0,82.8145,100.0,100.0,88.2353
"B_MULTI (multilingual, CC text)",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_multi_b2\04.vtt,False,119,119,0.2481,-0.062,0.9645,0.7064,0.377,1.313,1.215,1.4055,1.215,71.43,93.28,99.16,86.44,81.5413,99.1597,99.1597,84.8739
"B_MULTI (multilingual, CC text)  [no_overlap]",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_multi_b2\04_no_overlap.vtt,True,119,119,0.2481,-0.062,0.9645,0.7064,0.377,0.6199,0.685,0.871,0.834,71.43,93.28,99.16,0.0,81.5413,99.1597,99.1597,84.8739
"C_MULTI  (multilingual, Gloss text)",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_multi_gloss\04.vtt,False,119,119,-0.1596,-0.191,0.9565,0.7022,0.428,0.9143,0.997,1.1644,1.051,73.95,94.96,100.0,88.14,82.6317,99.1597,99.1597,88.2353
"C_MULTI  (multilingual, Gloss text)  [no_overlap]",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_multi_gloss\04_no_overlap.vtt,True,119,119,-0.1596,-0.191,0.9565,0.7022,0.428,0.2265,0.118,0.7561,0.657,73.95,94.96,100.0,0.0,82.6317,99.1597,99.1597,88.2353
"C_MULTI_word (multilingual, Gloss, word-level)",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_multi_gloss_word\04.vtt,False,119,119,-0.2312,-0.211,0.9613,0.7027,0.42,0.8396,0.979,1.0992,1.021,73.95,94.12,100.0,88.14,82.7353,99.1597,99.1597,89.0756
"C_MULTI_word (multilingual, Gloss, word-level)  [no_overlap]",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_multi_gloss_word\04_no_overlap.vtt,True,119,119,-0.2312,-0.211,0.9613,0.7027,0.42,0.155,0.1,0.7453,0.634,73.95,94.12,100.0,0.0,82.7353,99.1597,99.1597,89.0756
"D_ASL        (ASL, CC text)",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_asl_b2\04.vtt,False,119,119,0.3791,0.025,1.2031,0.9326,0.688,1.4599,1.406,1.5804,1.406,61.34,86.55,98.32,88.14,77.3134,97.479,92.437,77.3109
"D_ASL        (ASL, CC text)  [no_overlap]",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_asl_b2\04_no_overlap.vtt,True,119,119,0.3791,0.025,1.2031,0.9326,0.688,0.7554,0.84,1.128,1.03,61.34,86.55,98.32,0.0,77.3134,97.479,92.437,77.3109
"D_ASL_gloss  (ASL, Gloss text)",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_asl_gloss\04.vtt,False,119,119,-0.1238,-0.134,1.0731,0.7642,0.428,0.9754,1.05,1.2241,1.111,70.59,90.76,99.16,88.14,81.4255,99.1597,98.3193,81.5126
"D_ASL_gloss  (ASL, Gloss text)  [no_overlap]",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_asl_gloss\04_no_overlap.vtt,True,119,119,-0.1238,-0.134,1.0731,0.7642,0.428,0.2623,0.171,0.8273,0.746,70.59,90.76,99.16,0.0,81.4255,99.1597,98.3193,81.5126
"D_ASL_word   (ASL, Gloss, word-level)",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_asl_gloss_word\04.vtt,False,119,119,-0.132,-0.191,1.0801,0.7892,0.42,0.9473,1.0,1.1992,1.051,68.91,89.92,99.16,88.14,81.0844,99.1597,98.3193,84.8739
"D_ASL_word   (ASL, Gloss, word-level)  [no_overlap]",C:\Users\dniam\Documents\Dechathon_N\NECTEC\SEA\example_alignment\aligned_output_asl_gloss_word\04_no_overlap.vtt,True,119,119,-0.132,-0.191,1.0801,0.7892,0.42,0.2541,0.1,0.8421,0.746,68.91,89.92,99.16,0.0,81.0844,99.1597,98.3193,84.8739
